"Gene","Homo_sapiens","Pan_troglodytes","gorilla_gorilla","Pongo_abelii","Macaca_mulatta","Papio_anubis","Mus_musculus","Rattus_norvegicus","Oryctolagus_cuniculus","Bos_taurus","Ovis_aries","Capra_hircus","Sus_scrofa","Equus_caballus","Felis_catus","lupus_familiaris","Monodelphis_domestica","Ornithorhynchus_anatini","Gallus_gallus","Meleagris_gallopavo","Anolis_carolinensis","Chrysemys_picta","Takifugu_rubripes","Oryzias_latipes","Danio_rerio","Lepisosteus_oculatus","Latimeria_chalumnae","Rhincodon_typus","Callorhinchus_milii"
"ApoA-II",4.14052078090853,4.21328919553285,4.14052078090853,4.17989589094121,4.01378433944712,4.03126740271516,3.91697273960969,4.07850074339961,3.89520580328291,3.84663152203344,3.79218153411695,3.77396659177989,3.92367887763572,4.10091543141286,3.86990509661301,3.82898448701501,3.8016679228046,4.74987248234497,4.9374803236445,NA,NA,3.03204647930918,NA,NA,4.08892900259835,3.97232291269694,NA,NA,NA
"ApoA-V",0.789492027965534,0.789069625545804,0.790327461625098,0.826375594431873,0.790792295214355,0.790378235273223,0.82055678325063,0.821279375786919,0.800023684531961,0.793988118216162,0.792311180962706,0.790259663987944,0.792323760228466,0.790385557836756,0.795258982798331,0.795053083190197,0.805124066954324,NA,0.966593374530802,0.948081552010428,NA,0.918168346610058,NA,NA,NA,NA,NA,NA,NA
"ApoA-IV",1.00395833266152,0.999565633014021,1.00018542434094,1.00766316185118,1.02282633222863,1.01919384795045,1.13237259482113,1.11891949519682,1.06348610783044,NA,NA,NA,NA,NA,0.996004775870945,0.997342831237658,1.12828495147858,1.15715597904424,1.06066528474589,1.06383102641372,1.06553753350199,0.900690492565374,1.41980840492384,1.41136122161093,1.36896572981165,1.20768877133766,0.715809451151841,0.99718194497278,0.998309905260675
"ApoC-III",1.4800226548669,1.48405200045046,1.48806488415209,1.46105586873823,1.4529838631237,1.45313472828862,1.59378841873614,1.53871352903412,1.50437106018468,1.54438809272404,1.54028873949326,1.54424281330531,1.52963111020896,1.50491134738748,1.58087247431763,1.53279359159477,1.63248540381428,1.34607695228256,NA,NA,NA,NA,1.36939752938099,NA,1.37194885666182,NA,NA,NA,NA
"ApoC-I",0.742378945901541,0.746500224527209,0.738265749109968,0.794957980893231,0.716931983371795,0.72110000332387,0.702691581105172,0.721108502486787,0.662112640786994,NA,NA,NA,NA,1.06946700628851,0.864068382626678,0.689877034252903,0.853280769738534,NA,NA,NA,0.912250288528156,0.782144458858627,NA,1.04633315699273,0.865796015449007,NA,NA,NA,NA
"ApoA-I",1.12145869028876,1.12145869028876,1.12145869028876,1.12583098307046,1.13691532613595,1.13691532613595,1.14810052609376,1.17358832240684,1.12787968676053,1.10925257831994,NA,1.11271237097095,1.1166938888751,1.12436671504731,1.17119037963711,1.1001775470145,1.15549057527351,1.00850151485314,1.00125186765144,0.992855360005579,NA,0.985064759769417,1.26952833466207,1.1730987320891,1.04038441382332,0.915533187689073,1.02851042194636,1.02285242238708,0.895865028424102
"ApoC-II",1.48002196970324,1.48405131414247,1.48806419666806,1.46105518726233,1.45298319748745,1.45313406258306,1.59378750188967,1.53871254393063,1.50437007264081,1.54438667668204,1.54028755504744,1.54424163304989,1.52962953565956,1.50491053791645,1.58087123907386,1.53279319666518,1.6324851067809,1.34607654729332,NA,NA,NA,NA,1.36939661644478,NA,1.37194845721902,NA,NA,NA,NA
"АроЕ",0.761860199724447,0.76088379791369,0.760454445640204,0.765676718259665,0.76359252940765,0.760412897826703,0.739175300450185,0.747964775006058,0.778031124004727,0.797833929703122,0.802843420913249,0.798507853206619,0.798263771961619,0.803187960434598,0.784227612562778,0.819951079917525,0.792027361640398,0.694837065812988,NA,NA,1.36335051420036,0.822356310504533,1.21127640743553,1.24329160633321,1.07407406322973,1.0190586715392,0.996089406417822,NA,NA
"ApoA-II",4.14052078090853,4.21328919553285,4.14052078090853,4.17989589094121,4.01378433944712,4.03126740271516,3.91697273960969,4.07850074339961,3.89520580328291,3.84663152203344,3.79218153411695,3.77396659177989,3.92367887763572,4.10091543141286,3.86990509661301,3.82898448701501,3.8016679228046,4.74987248234497,4.9374803236445,NA,NA,3.03204647930918,NA,NA,4.08892900259835,3.97232291269694,NA,NA,NA
"ApoA-V",0.789492027965534,0.789069625545804,0.790327461625098,0.826375594431873,0.790792295214355,0.790378235273223,0.82055678325063,0.821279375786919,0.800023684531961,0.793988118216162,0.792311180962706,0.790259663987944,0.792323760228466,0.790385557836756,0.795258982798331,0.795053083190197,0.805124066954324,NA,0.966593374530802,0.948081552010428,NA,0.918168346610058,NA,NA,NA,NA,NA,NA,NA
"ApoA-IV",1.00395833266152,0.999565633014021,1.00018542434094,1.00766316185118,1.02282633222863,1.01919384795045,1.13237259482113,1.11891949519682,1.06348610783044,NA,NA,NA,NA,NA,0.996004775870945,0.997342831237658,1.12828495147858,1.15715597904424,1.06066528474589,1.06383102641372,1.06553753350199,0.900690492565374,1.41980840492384,1.41136122161093,1.36896572981165,1.20768877133766,0.715809451151841,0.99718194497278,0.998309905260675
"ApoC-III",1.4800226548669,1.48405200045046,1.48806488415209,1.46105586873823,1.4529838631237,1.45313472828862,1.59378841873614,1.53871352903412,1.50437106018468,1.54438809272404,1.54028873949326,1.54424281330531,1.52963111020896,1.50491134738748,1.58087247431763,1.53279359159477,1.63248540381428,1.34607695228256,NA,NA,NA,NA,1.36939752938099,NA,1.37194885666182,NA,NA,NA,NA
"ApoC-I",0.742378945901541,0.746500224527209,0.738265749109968,0.794957980893231,0.716931983371795,0.72110000332387,0.702691581105172,0.721108502486787,0.662112640786994,NA,NA,NA,NA,1.06946700628851,0.864068382626678,0.689877034252903,0.853280769738534,NA,NA,NA,0.912250288528156,0.782144458858627,NA,1.04633315699273,0.865796015449007,NA,NA,NA,NA
"ApoA-I",1.12145869028876,1.12145869028876,1.12145869028876,1.12583098307046,1.13691532613595,1.13691532613595,1.14810052609376,1.17358832240684,1.12787968676053,1.10925257831994,NA,1.11271237097095,1.1166938888751,1.12436671504731,1.17119037963711,1.1001775470145,1.15549057527351,1.00850151485314,1.00125186765144,0.992855360005579,NA,0.985064759769417,1.26952833466207,1.1730987320891,1.04038441382332,0.915533187689073,1.02851042194636,1.02285242238708,0.895865028424102
"ApoC-II",1.48002196970324,1.48405131414247,1.48806419666806,1.46105518726233,1.45298319748745,1.45313406258306,1.59378750188967,1.53871254393063,1.50437007264081,1.54438667668204,1.54028755504744,1.54424163304989,1.52962953565956,1.50491053791645,1.58087123907386,1.53279319666518,1.6324851067809,1.34607654729332,NA,NA,NA,NA,1.36939661644478,NA,1.37194845721902,NA,NA,NA,NA
"АроЕ",0.761860199724447,0.76088379791369,0.760454445640204,0.765676718259665,0.76359252940765,0.760412897826703,0.739175300450185,0.747964775006058,0.778031124004727,0.797833929703122,0.802843420913249,0.798507853206619,0.798263771961619,0.803187960434598,0.784227612562778,0.819951079917525,0.792027361640398,0.694837065812988,NA,NA,1.36335051420036,0.822356310504533,1.21127640743553,1.24329160633321,1.07407406322973,1.0190586715392,0.996089406417822,NA,NA
"ApoA-II",4.14052078090853,4.21328919553285,4.14052078090853,4.17989589094121,4.01378433944712,4.03126740271516,3.91697273960969,4.07850074339961,3.89520580328291,3.84663152203344,3.79218153411695,3.77396659177989,3.92367887763572,4.10091543141286,3.86990509661301,3.82898448701501,3.8016679228046,4.74987248234497,4.9374803236445,NA,NA,3.03204647930918,NA,NA,4.08892900259835,3.97232291269694,NA,NA,NA
"ApoA-V",0.789492027965534,0.789069625545804,0.790327461625098,0.826375594431873,0.790792295214355,0.790378235273223,0.82055678325063,0.821279375786919,0.800023684531961,0.793988118216162,0.792311180962706,0.790259663987944,0.792323760228466,0.790385557836756,0.795258982798331,0.795053083190197,0.805124066954324,NA,0.966593374530802,0.948081552010428,NA,0.918168346610058,NA,NA,NA,NA,NA,NA,NA
"ApoA-IV",1.00395833266152,0.999565633014021,1.00018542434094,1.00766316185118,1.02282633222863,1.01919384795045,1.13237259482113,1.11891949519682,1.06348610783044,NA,NA,NA,NA,NA,0.996004775870945,0.997342831237658,1.12828495147858,1.15715597904424,1.06066528474589,1.06383102641372,1.06553753350199,0.900690492565374,1.41980840492384,1.41136122161093,1.36896572981165,1.20768877133766,0.715809451151841,0.99718194497278,0.998309905260675
"ApoC-III",1.4800226548669,1.48405200045046,1.48806488415209,1.46105586873823,1.4529838631237,1.45313472828862,1.59378841873614,1.53871352903412,1.50437106018468,1.54438809272404,1.54028873949326,1.54424281330531,1.52963111020896,1.50491134738748,1.58087247431763,1.53279359159477,1.63248540381428,1.34607695228256,NA,NA,NA,NA,1.36939752938099,NA,1.37194885666182,NA,NA,NA,NA
"ApoC-I",0.742378945901541,0.746500224527209,0.738265749109968,0.794957980893231,0.716931983371795,0.72110000332387,0.702691581105172,0.721108502486787,0.662112640786994,NA,NA,NA,NA,1.06946700628851,0.864068382626678,0.689877034252903,0.853280769738534,NA,NA,NA,0.912250288528156,0.782144458858627,NA,1.04633315699273,0.865796015449007,NA,NA,NA,NA
"ApoA-I",1.12145869028876,1.12145869028876,1.12145869028876,1.12583098307046,1.13691532613595,1.13691532613595,1.14810052609376,1.17358832240684,1.12787968676053,1.10925257831994,NA,1.11271237097095,1.1166938888751,1.12436671504731,1.17119037963711,1.1001775470145,1.15549057527351,1.00850151485314,1.00125186765144,0.992855360005579,NA,0.985064759769417,1.26952833466207,1.1730987320891,1.04038441382332,0.915533187689073,1.02851042194636,1.02285242238708,0.895865028424102
"ApoC-II",1.48002196970324,1.48405131414247,1.48806419666806,1.46105518726233,1.45298319748745,1.45313406258306,1.59378750188967,1.53871254393063,1.50437007264081,1.54438667668204,1.54028755504744,1.54424163304989,1.52962953565956,1.50491053791645,1.58087123907386,1.53279319666518,1.6324851067809,1.34607654729332,NA,NA,NA,NA,1.36939661644478,NA,1.37194845721902,NA,NA,NA,NA
"АроЕ",0.761860199724447,0.76088379791369,0.760454445640204,0.765676718259665,0.76359252940765,0.760412897826703,0.739175300450185,0.747964775006058,0.778031124004727,0.797833929703122,0.802843420913249,0.798507853206619,0.798263771961619,0.803187960434598,0.784227612562778,0.819951079917525,0.792027361640398,0.694837065812988,NA,NA,1.36335051420036,0.822356310504533,1.21127640743553,1.24329160633321,1.07407406322973,1.0190586715392,0.996089406417822,NA,NA
"ApoA-II",4.14052078090853,4.21328919553285,4.14052078090853,4.17989589094121,4.01378433944712,4.03126740271516,3.91697273960969,4.07850074339961,3.89520580328291,3.84663152203344,3.79218153411695,3.77396659177989,3.92367887763572,4.10091543141286,3.86990509661301,3.82898448701501,3.8016679228046,4.74987248234497,4.9374803236445,NA,NA,3.03204647930918,NA,NA,4.08892900259835,3.97232291269694,NA,NA,NA
"ApoA-V",0.789492027965534,0.789069625545804,0.790327461625098,0.826375594431873,0.790792295214355,0.790378235273223,0.82055678325063,0.821279375786919,0.800023684531961,0.793988118216162,0.792311180962706,0.790259663987944,0.792323760228466,0.790385557836756,0.795258982798331,0.795053083190197,0.805124066954324,NA,0.966593374530802,0.948081552010428,NA,0.918168346610058,NA,NA,NA,NA,NA,NA,NA
"ApoA-IV",1.00395833266152,0.999565633014021,1.00018542434094,1.00766316185118,1.02282633222863,1.01919384795045,1.13237259482113,1.11891949519682,1.06348610783044,NA,NA,NA,NA,NA,0.996004775870945,0.997342831237658,1.12828495147858,1.15715597904424,1.06066528474589,1.06383102641372,1.06553753350199,0.900690492565374,1.41980840492384,1.41136122161093,1.36896572981165,1.20768877133766,0.715809451151841,0.99718194497278,0.998309905260675
"ApoC-III",1.4800226548669,1.48405200045046,1.48806488415209,1.46105586873823,1.4529838631237,1.45313472828862,1.59378841873614,1.53871352903412,1.50437106018468,1.54438809272404,1.54028873949326,1.54424281330531,1.52963111020896,1.50491134738748,1.58087247431763,1.53279359159477,1.63248540381428,1.34607695228256,NA,NA,NA,NA,1.36939752938099,NA,1.37194885666182,NA,NA,NA,NA
"ApoC-I",0.742378945901541,0.746500224527209,0.738265749109968,0.794957980893231,0.716931983371795,0.72110000332387,0.702691581105172,0.721108502486787,0.662112640786994,NA,NA,NA,NA,1.06946700628851,0.864068382626678,0.689877034252903,0.853280769738534,NA,NA,NA,0.912250288528156,0.782144458858627,NA,1.04633315699273,0.865796015449007,NA,NA,NA,NA
"ApoA-I",1.12145869028876,1.12145869028876,1.12145869028876,1.12583098307046,1.13691532613595,1.13691532613595,1.14810052609376,1.17358832240684,1.12787968676053,1.10925257831994,NA,1.11271237097095,1.1166938888751,1.12436671504731,1.17119037963711,1.1001775470145,1.15549057527351,1.00850151485314,1.00125186765144,0.992855360005579,NA,0.985064759769417,1.26952833466207,1.1730987320891,1.04038441382332,0.915533187689073,1.02851042194636,1.02285242238708,0.895865028424102
"ApoC-II",1.48002196970324,1.48405131414247,1.48806419666806,1.46105518726233,1.45298319748745,1.45313406258306,1.59378750188967,1.53871254393063,1.50437007264081,1.54438667668204,1.54028755504744,1.54424163304989,1.52962953565956,1.50491053791645,1.58087123907386,1.53279319666518,1.6324851067809,1.34607654729332,NA,NA,NA,NA,1.36939661644478,NA,1.37194845721902,NA,NA,NA,NA
"АроЕ",0.761860199724447,0.76088379791369,0.760454445640204,0.765676718259665,0.76359252940765,0.760412897826703,0.739175300450185,0.747964775006058,0.778031124004727,0.797833929703122,0.802843420913249,0.798507853206619,0.798263771961619,0.803187960434598,0.784227612562778,0.819951079917525,0.792027361640398,0.694837065812988,NA,NA,1.36335051420036,0.822356310504533,1.21127640743553,1.24329160633321,1.07407406322973,1.0190586715392,0.996089406417822,NA,NA
"ApoA-II",4.14052078090853,4.21328919553285,4.14052078090853,4.17989589094121,4.01378433944712,4.03126740271516,3.91697273960969,4.07850074339961,3.89520580328291,3.84663152203344,3.79218153411695,3.77396659177989,3.92367887763572,4.10091543141286,3.86990509661301,3.82898448701501,3.8016679228046,4.74987248234497,4.9374803236445,NA,NA,3.03204647930918,NA,NA,4.08892900259835,3.97232291269694,NA,NA,NA
"ApoA-V",0.789492027965534,0.789069625545804,0.790327461625098,0.826375594431873,0.790792295214355,0.790378235273223,0.82055678325063,0.821279375786919,0.800023684531961,0.793988118216162,0.792311180962706,0.790259663987944,0.792323760228466,0.790385557836756,0.795258982798331,0.795053083190197,0.805124066954324,NA,0.966593374530802,0.948081552010428,NA,0.918168346610058,NA,NA,NA,NA,NA,NA,NA
"ApoA-IV",1.00395833266152,0.999565633014021,1.00018542434094,1.00766316185118,1.02282633222863,1.01919384795045,1.13237259482113,1.11891949519682,1.06348610783044,NA,NA,NA,NA,NA,0.996004775870945,0.997342831237658,1.12828495147858,1.15715597904424,1.06066528474589,1.06383102641372,1.06553753350199,0.900690492565374,1.41980840492384,1.41136122161093,1.36896572981165,1.20768877133766,0.715809451151841,0.99718194497278,0.998309905260675
